row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A002,,,103922,,,,,,,,NEW_SESSION,
EVENT,A002,1,,123222,,,,,,,,START,
DATA,A002,1,26,123587,-0.0680,1.0192,0.8543,32.6538,48.5840,18.0664,1.3317,,
DATA,A002,1,27,123597,0.0167,0.5705,0.8692,55.1147,47.4854,11.9629,1.0398,,
DATA,A002,1,28,123607,-0.0063,0.4926,0.7977,50.5371,57.3120,9.2773,0.9375,,
DATA,A002,1,29,123617,-0.1962,1.1867,0.7793,54.6875,66.8335,0.7935,1.4333,,
DATA,A002,1,30,123627,0.0360,0.9668,0.9061,62.1948,43.2739,-9.9487,1.3255,,
DATA,A002,1,31,123637,0.1536,0.5688,0.7901,95.0317,31.5552,-3.0518,0.9856,,
DATA,A002,1,32,123647,0.3695,0.2727,0.5731,144.9585,15.9912,38.6353,0.7343,,
DATA,A002,1,33,123657,0.1339,0.6306,0.8799,48.1567,104.7363,28.1982,1.0908,,
DATA,A002,1,34,123667,0.1170,0.5705,0.5982,5.4321,112.0605,30.8228,0.8349,,
DATA,A002,1,35,123677,0.1446,0.5463,0.5787,18.7378,129.4556,37.7808,0.8089,,
DATA,A002,1,36,123687,0.1576,0.5778,0.5689,19.7144,145.4468,40.0391,0.8261,,
DATA,A002,1,37,123697,0.1466,0.5588,0.5010,18.1274,168.0298,45.7153,0.7647,,
DATA,A002,1,38,123707,0.1273,0.5449,0.4681,19.5312,180.7861,49.8657,0.7295,,
DATA,A002,1,39,123717,0.0936,0.5310,0.4251,23.4375,198.1812,55.2979,0.6866,,
DATA,A002,1,40,123727,0.0755,0.5319,0.3975,26.9165,208.1299,59.2041,0.6683,,
DATA,A002,1,41,123737,0.0579,0.5390,0.3794,30.8838,218.3228,63.2324,0.6617,,
DATA,A002,1,42,123747,0.0296,0.5546,0.3533,36.3770,231.8115,69.0918,0.6583,,
DATA,A002,1,43,123757,0.0138,0.5683,0.3426,40.7715,239.6851,73.7915,0.6637,,
DATA,A002,1,44,123767,-0.0146,0.5947,0.3301,46.9360,249.2065,80.6885,0.6803,,
DATA,A002,1,45,123777,-0.0361,0.6162,0.3179,50.0488,253.7231,85.5103,0.6943,,
DATA,A002,1,46,123787,-0.0834,0.6064,0.2967,54.8706,254.9438,91.0034,0.6802,,
DATA,A002,1,47,123797,-0.0946,0.6735,0.2852,63.7817,256.8359,98.5107,0.7375,,
DATA,A002,1,48,123807,-0.1227,0.7341,0.2957,67.1997,259.9487,107.6050,0.8009,,
DATA,A002,1,49,123817,-0.1420,0.7776,0.2913,67.9932,259.0332,114.6240,0.8424,,
