row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A001,,,19335,,,,,,,,NEW_SESSION,
EVENT,A001,1,,61519,,,,,,,,START,
DATA,A001,1,26,61884,0.3292,0.4323,0.7225,-10.1929,40.2832,54.3823,0.9040,,
DATA,A001,1,27,61894,0.2679,0.3706,0.6702,0.3662,61.0962,61.0962,0.8113,,
DATA,A001,1,28,61904,0.2303,0.3725,0.6163,4.4556,70.3125,67.2607,0.7560,,
DATA,A001,1,29,61914,0.2391,0.4167,0.5694,13.2446,86.0596,72.2046,0.7450,,
DATA,A001,1,30,61924,0.2647,0.4336,0.5447,14.8315,98.9380,75.5005,0.7448,,
DATA,A001,1,31,61934,0.2828,0.4145,0.5044,16.8457,122.0703,81.5430,0.7115,,
DATA,A001,1,32,61944,0.2808,0.4047,0.4744,20.0806,138.6719,85.6934,0.6839,,
DATA,A001,1,33,61954,0.2667,0.4165,0.4517,28.4424,162.6587,92.5903,0.6698,,
DATA,A001,1,34,61964,0.2491,0.4343,0.4449,34.1797,176.7578,97.3511,0.6698,,
DATA,A001,1,35,61974,0.1939,0.4736,0.4671,42.0532,193.8477,104.7363,0.6929,,
DATA,A001,1,36,61984,0.1375,0.5007,0.4869,47.0581,201.1719,110.1074,0.7118,,
DATA,A001,1,37,61994,0.0706,0.5588,0.4881,53.4668,207.5806,118.0420,0.7453,,
DATA,A001,1,38,62004,0.0482,0.5842,0.4712,55.6030,209.0454,123.0469,0.7521,,
DATA,A001,1,39,62014,0.0235,0.6159,0.4417,57.8613,209.1675,131.1035,0.7583,,
DATA,A001,1,40,62024,0.0155,0.6313,0.4195,59.9976,208.9844,136.5356,0.7581,,
DATA,A001,1,41,62034,-0.0028,0.6616,0.3926,64.2090,209.2285,145.0195,0.7693,,
DATA,A001,1,42,62044,-0.0212,0.6782,0.3809,67.7490,208.9233,150.6348,0.7781,,
DATA,A001,1,43,62054,-0.0404,0.7199,0.3636,73.4863,209.6558,158.3862,0.8075,,
DATA,A001,1,44,62064,-0.0434,0.7475,0.3611,76.7212,210.8765,163.5742,0.8313,,
DATA,A001,1,45,62074,-0.0592,0.7797,0.3509,82.0312,212.7686,170.5322,0.8571,,
DATA,A001,1,46,62084,-0.0639,0.8264,0.3428,86.9141,215.2100,175.9644,0.8969,,
DATA,A001,1,47,62094,-0.0822,0.8657,0.3470,90.2710,218.2007,181.8237,0.9362,,
DATA,A001,1,48,62104,-0.0990,0.9272,0.3414,93.9331,222.1680,189.6362,0.9930,,
DATA,A001,1,49,62114,-0.1181,0.9643,0.3409,96.6187,224.6094,194.6411,1.0296,,
DATA,A001,1,50,62124,-0.1344,1.0315,0.3384,101.0742,227.8442,202.3315,1.0939,,
DATA,A001,1,76,62429,-0.3427,0.8657,0.3016,20.5078,101.0132,9.2163,0.9787,,
DATA,A001,1,77,62439,-0.3456,0.8703,0.2996,20.8740,104.2480,7.2021,0.9832,,
DATA,A001,1,78,62449,-0.3459,0.8730,0.2928,20.2026,106.9946,4.7607,0.9836,,
DATA,A001,1,79,62459,-0.3422,0.8628,0.2833,18.6157,108.1543,3.4790,0.9704,,
DATA,A001,1,80,62469,-0.3371,0.8376,0.2701,16.9678,109.4360,1.9531,0.9424,,
DATA,A001,1,81,62479,-0.3322,0.8191,0.2701,16.4795,109.1919,0.9155,0.9242,,
DATA,A001,1,82,62489,-0.3378,0.8061,0.2740,17.8833,107.0557,-0.0610,0.9160,,
DATA,A001,1,83,62499,-0.3376,0.8064,0.2864,19.6533,104.8584,-0.7324,0.9199,,
DATA,A001,1,84,62509,-0.3234,0.8081,0.3033,21.0571,101.6235,-2.0752,0.9217,,
DATA,A001,1,85,62519,-0.3197,0.8012,0.3209,21.1792,99.5483,-3.0518,0.9204,,
DATA,A001,1,86,62529,-0.3066,0.7880,0.3399,22.6440,95.5811,-4.6387,0.9113,,
DATA,A001,1,87,62539,-0.2970,0.7841,0.3416,24.6582,92.7124,-5.3711,0.9054,,
DATA,A001,1,88,62549,-0.2909,0.7744,0.3563,27.5269,87.6465,-6.7749,0.9007,,
DATA,A001,1,89,62559,-0.2848,0.7744,0.3677,30.5786,83.4351,-7.6294,0.9033,,
DATA,A001,1,90,62569,-0.2658,0.8171,0.3787,38.3911,75.9888,-8.6670,0.9390,,
DATA,A001,1,91,62579,-0.2658,0.8816,0.4112,46.7529,69.3970,-8.1787,1.0084,,
DATA,A001,1,92,62589,-0.2900,1.0097,0.4866,57.9834,54.8096,-6.2866,1.1578,,
DATA,A001,1,93,62599,-0.3002,1.0857,0.5218,60.6079,45.5933,-5.3101,1.2414,,
DATA,A001,1,94,62609,-0.2980,1.1308,0.5645,56.8848,33.6304,-5.3711,1.2986,,
DATA,A001,1,95,62619,-0.2963,1.1145,0.5755,52.6733,25.5127,-5.9814,1.2888,,
DATA,A001,1,96,62629,-0.3005,1.0893,0.5796,50.5981,16.8457,-6.4087,1.2700,,
DATA,A001,1,97,62639,-0.2863,1.0659,0.5679,48.8892,2.2583,-7.7515,1.2412,,
DATA,A001,1,98,62649,-0.2734,1.0625,0.5555,48.4009,-6.7749,-8.7891,1.2297,,
DATA,A001,1,99,62659,-0.2543,1.0693,0.5435,45.6543,-18.0664,-10.9863,1.2262,,
DATA,A001,1,100,62669,-0.2380,1.0683,0.5293,42.1143,-23.8647,-12.7563,1.2158,,
DATA,A001,1,126,62976,-0.2941,1.1364,0.2850,-83.4351,-72.5708,-28.1982,1.2080,,
DATA,A001,1,127,62986,-0.2841,1.1274,0.2725,-87.5854,-61.5845,-30.1514,1.1942,,
DATA,A001,1,128,62996,-0.2716,1.1098,0.2566,-92.5903,-44.9829,-33.1421,1.1711,,
DATA,A001,1,129,63006,-0.2746,1.0930,0.2501,-95.4590,-34.9121,-35.1562,1.1543,,
DATA,A001,1,130,63016,-0.2670,1.0676,0.2371,-99.3652,-20.2637,-38.3911,1.1257,,
DATA,A001,1,131,63026,-0.2599,1.0459,0.2212,-100.9521,-9.5215,-40.5273,1.1002,,
DATA,A001,1,132,63036,-0.2602,1.0337,0.2110,-100.3418,5.9204,-42.6025,1.0866,,
DATA,A001,1,133,63046,-0.2673,1.0251,0.2076,-100.4028,15.0757,-44.1895,1.0795,,
DATA,A001,1,134,63056,-0.2785,1.0002,0.1954,-100.4639,27.2217,-46.3257,1.0565,,
DATA,A001,1,135,63066,-0.2831,0.9856,0.1880,-99.4873,33.6914,-47.7295,1.0425,,
DATA,A001,1,136,63076,-0.2907,0.9626,0.1822,-97.0459,41.0767,-49.3774,1.0219,,
DATA,A001,1,137,63086,-0.3009,0.9602,0.1749,-94.6655,43.8843,-50.2930,1.0213,,
DATA,A001,1,138,63096,-0.2985,0.9463,0.1561,-91.3696,48.0957,-51.0864,1.0044,,
DATA,A001,1,139,63106,-0.3051,0.9358,0.1470,-89.4775,49.8657,-51.5137,0.9952,,
DATA,A001,1,140,63116,-0.3132,0.9118,0.1368,-85.2051,49.9268,-51.8799,0.9738,,
DATA,A001,1,141,63126,-0.3171,0.9030,0.1358,-81.4209,48.2788,-51.9409,0.9667,,
DATA,A001,1,142,63136,-0.3195,0.9084,0.1348,-74.6460,43.8232,-51.3916,0.9723,,
DATA,A001,1,143,63146,-0.3173,0.9079,0.1419,-70.4346,40.4053,-51.0254,0.9722,,
DATA,A001,1,144,63156,-0.3175,0.9055,0.1451,-66.4062,36.0107,-50.4150,0.9705,,
DATA,A001,1,145,63166,-0.3105,0.8889,0.1541,-60.7910,28.8086,-49.8657,0.9541,,
DATA,A001,1,146,63176,-0.3039,0.8840,0.1475,-56.2744,23.4985,-48.9502,0.9463,,
DATA,A001,1,147,63186,-0.3014,0.8881,0.1470,-47.3022,15.1367,-46.6309,0.9494,,
DATA,A001,1,148,63196,-0.2973,0.8986,0.1424,-41.9922,9.3384,-44.9219,0.9572,,
DATA,A001,1,149,63206,-0.2885,0.8972,0.1492,-34.2407,0.9155,-42.0532,0.9542,,
DATA,A001,1,150,63216,-0.2843,0.8986,0.1541,-28.5645,-4.9438,-39.8560,0.9551,,
DATA,A001,1,176,63521,-0.1303,0.7404,0.2925,16.4185,96.8628,56.5796,0.8067,,
DATA,A001,1,177,63531,-0.1571,0.7334,0.2601,16.7847,103.9429,59.2041,0.7938,,
DATA,A001,1,178,63541,-0.1820,0.7148,0.2522,17.4561,107.5439,60.6689,0.7796,,
DATA,A001,1,179,63551,-0.1903,0.6916,0.2566,20.1416,111.5112,62.2559,0.7619,,
DATA,A001,1,180,63561,-0.2008,0.6877,0.2691,23.0103,113.3423,63.7207,0.7653,,
DATA,A001,1,181,63571,-0.2321,0.6936,0.2916,28.6255,112.2437,66.2231,0.7873,,
DATA,A001,1,182,63581,-0.2487,0.7046,0.3143,33.1421,109.8633,67.6880,0.8106,,
DATA,A001,1,183,63591,-0.2494,0.7265,0.3326,39.6729,106.1401,70.0684,0.8371,,
DATA,A001,1,184,63601,-0.2599,0.7363,0.3409,43.2739,102.7832,71.9604,0.8520,,
DATA,A001,1,185,63611,-0.2817,0.7463,0.3316,48.8892,95.4590,75.0732,0.8639,,
DATA,A001,1,186,63621,-0.3090,0.7544,0.3304,52.4292,89.2334,76.8433,0.8796,,
DATA,A001,1,187,63631,-0.3547,0.7671,0.3287,58.6548,74.5239,79.1626,0.9067,,
DATA,A001,1,188,63641,-0.3698,0.7863,0.3409,62.8052,63.1104,80.2612,0.9334,,
DATA,A001,1,189,63651,-0.3864,0.8103,0.3628,68.2373,47.1191,81.4209,0.9682,,
DATA,A001,1,190,63661,-0.4003,0.8222,0.3858,71.4111,35.7056,82.2754,0.9925,,
DATA,A001,1,191,63671,-0.4289,0.8410,0.4207,75.6226,16.1743,82.7026,1.0336,,
DATA,A001,1,192,63681,-0.4325,0.8525,0.4466,78.3691,3.1738,82.3364,1.0551,,
DATA,A001,1,193,63691,-0.4159,0.8855,0.4773,82.3975,-12.6953,80.6274,1.0885,,
DATA,A001,1,194,63701,-0.4237,0.9011,0.4964,83.0078,-21.1792,79.1016,1.1126,,
DATA,A001,1,195,63711,-0.4455,0.9126,0.5159,83.0688,-30.7617,77.0264,1.1390,,
DATA,A001,1,196,63721,-0.4684,0.9287,0.5298,82.1533,-44.1895,71.9604,1.1673,,
DATA,A001,1,197,63731,-0.4750,0.9365,0.5284,79.5288,-50.8423,67.2607,1.1755,,
DATA,A001,1,198,63741,-0.4789,0.9362,0.5210,73.6694,-57.0679,58.7158,1.1736,,
DATA,A001,1,199,63751,-0.4816,0.9272,0.5113,68.5425,-58.4106,52.0020,1.1632,,
DATA,A001,1,200,63761,-0.4850,0.9133,0.4876,60.1196,-57.8613,40.8936,1.1433,,
DATA,A001,1,226,64057,-0.3798,1.0361,0.1719,-31.4331,-137.5732,-64.5752,1.1168,,
DATA,A001,1,227,64067,-0.3708,1.0271,0.1707,-33.6914,-134.8877,-64.6973,1.1052,,
DATA,A001,1,228,64077,-0.3588,1.0136,0.1670,-35.7666,-131.7139,-64.3311,1.0882,,
DATA,A001,1,229,64087,-0.3468,0.9946,0.1639,-37.9028,-126.5259,-63.4766,1.0660,,
DATA,A001,1,230,64097,-0.3320,0.9853,0.1663,-39.1846,-121.7651,-62.6221,1.0529,,
DATA,A001,1,231,64107,-0.3215,0.9704,0.1612,-41.9922,-114.9902,-60.6079,1.0349,,
DATA,A001,1,232,64117,-0.3168,0.9592,0.1614,-43.2739,-110.5957,-58.7769,1.0230,,
DATA,A001,1,233,64127,-0.3190,0.9546,0.1536,-44.6777,-104.6753,-55.7251,1.0181,,
DATA,A001,1,234,64137,-0.3105,0.9506,0.1522,-45.5933,-101.0742,-53.5278,1.0116,,
DATA,A001,1,235,64147,-0.3049,0.9499,0.1575,-47.0581,-96.0083,-49.6216,1.0100,,
DATA,A001,1,236,64157,-0.3049,0.9555,0.1592,-47.4243,-92.6514,-46.8140,1.0155,,
DATA,A001,1,237,64167,-0.2961,0.9694,0.1614,-48.4619,-87.5244,-42.4805,1.0264,,
DATA,A001,1,238,64177,-0.2865,0.9704,0.1570,-49.8657,-83.4961,-39.4897,1.0240,,
DATA,A001,1,239,64187,-0.2807,0.9694,0.1512,-51.7578,-77.2095,-35.1562,1.0205,,
DATA,A001,1,240,64197,-0.2758,0.9753,0.1458,-52.2461,-72.5098,-31.9214,1.0240,,
DATA,A001,1,241,64207,-0.2680,0.9773,0.1336,-54.1382,-64.3311,-27.4048,1.0221,,
DATA,A001,1,242,64217,-0.2631,0.9643,0.1326,-55.6030,-58.2886,-24.7192,1.0083,,
DATA,A001,1,243,64227,-0.2631,0.9687,0.1419,-54.6875,-50.3540,-20.4468,1.0138,,
DATA,A001,1,244,64237,-0.2580,0.9904,0.1482,-53.4058,-45.2881,-17.7612,1.0342,,
DATA,A001,1,245,64247,-0.2465,1.0139,0.1607,-54.0161,-36.1328,-14.0991,1.0557,,
DATA,A001,1,246,64257,-0.2426,0.9990,0.1683,-56.4575,-29.4189,-12.4512,1.0417,,
DATA,A001,1,247,64267,-0.2340,0.9746,0.1424,-57.7393,-18.7378,-9.6436,1.0123,,
DATA,A001,1,248,64277,-0.2328,0.9770,0.1334,-55.7251,-11.4746,-7.5073,1.0132,,
DATA,A001,1,249,64287,-0.2394,0.9831,0.1319,-54.1382,-1.3428,-4.7607,1.0204,,
DATA,A001,1,250,64297,-0.2416,0.9821,0.1346,-53.1616,5.3101,-3.0518,1.0203,,
DATA,A001,1,276,64587,-0.0595,0.9099,0.3216,49.8047,-45.1660,-26.3672,0.9669,,
DATA,A001,1,277,64597,-0.0651,0.8906,0.3348,44.3115,-26.1841,-23.2544,0.9537,,
DATA,A001,1,278,64607,-0.0663,0.8762,0.3426,40.9546,-14.3433,-21.3013,0.9431,,
DATA,A001,1,279,64617,-0.0763,0.8330,0.3655,36.3770,0.7935,-18.4937,0.9128,,
DATA,A001,1,280,64627,-0.0841,0.8088,0.3824,34.9731,7.7515,-16.7847,0.8986,,
DATA,A001,1,281,64637,-0.0927,0.7985,0.4012,34.9121,13.8550,-14.5264,0.8984,,
DATA,A001,1,282,64647,-0.0890,0.8025,0.4048,34.5459,16.1133,-12.9395,0.9032,,
DATA,A001,1,283,64657,-0.0883,0.7951,0.4051,33.2642,18.3716,-10.6812,0.8967,,
DATA,A001,1,284,64667,-0.1034,0.7807,0.4022,32.7148,19.1650,-8.8501,0.8843,,
DATA,A001,1,285,64677,-0.1315,0.7732,0.4097,33.7524,18.1885,-6.2256,0.8848,,
DATA,A001,1,286,64687,-0.1352,0.7710,0.4112,34.9121,15.5640,-4.4556,0.8842,,
DATA,A001,1,287,64697,-0.1357,0.7741,0.4302,37.4146,8.7280,-1.3428,0.8960,,
DATA,A001,1,288,64707,-0.1322,0.7761,0.4456,39.6729,3.4180,0.6714,0.9046,,
DATA,A001,1,289,64717,-0.1322,0.7905,0.4874,42.9077,-5.4321,3.9673,0.9380,,
DATA,A001,1,290,64727,-0.1320,0.8093,0.5091,45.5933,-10.9863,5.9814,0.9652,,
DATA,A001,1,291,64737,-0.1320,0.8181,0.5420,47.9736,-19.3481,8.6670,0.9902,,
DATA,A001,1,292,64747,-0.1269,0.8188,0.5572,49.1333,-24.7192,10.1929,0.9985,,
DATA,A001,1,293,64757,-0.1232,0.8169,0.5711,51.4526,-30.7007,12.8784,1.0043,,
DATA,A001,1,294,64767,-0.1205,0.8169,0.5699,52.4292,-33.6914,14.4653,1.0033,,
DATA,A001,1,295,64777,-0.1242,0.8078,0.5596,53.4668,-35.9497,15.9302,0.9905,,
DATA,A001,1,296,64787,-0.1239,0.8012,0.5550,54.8096,-38.3911,17.9443,0.9825,,
DATA,A001,1,297,64797,-0.1193,0.7985,0.5430,55.4199,-38.4521,19.2261,0.9730,,
DATA,A001,1,298,64807,-0.1220,0.7885,0.5198,54.3213,-37.1704,20.9961,0.9523,,
DATA,A001,1,299,64817,-0.1322,0.7732,0.5001,52.7344,-37.2314,22.0947,0.9302,,
DATA,A001,1,300,64827,-0.1481,0.7497,0.4798,51.5137,-37.8418,23.0103,0.9023,,
DATA,A001,1,326,65123,-0.4701,1.0395,0.2735,-31.3721,-71.5942,-78.3691,1.1732,,
DATA,A001,1,327,65133,-0.4601,1.0383,0.2662,-32.0435,-74.5239,-82.7637,1.1665,,
DATA,A001,1,328,65143,-0.4550,1.0422,0.2630,-32.3486,-77.5757,-85.9375,1.1672,,
DATA,A001,1,329,65153,-0.4526,1.0510,0.2549,-33.5693,-81.1768,-88.8062,1.1723,,
DATA,A001,1,330,65163,-0.4526,1.0554,0.2501,-34.9731,-83.3740,-89.9048,1.1752,,
DATA,A001,1,331,65173,-0.4513,1.0527,0.2432,-36.8652,-87.1582,-90.6372,1.1709,,
DATA,A001,1,332,65183,-0.4479,1.0576,0.2418,-38.0859,-90.2100,-90.5151,1.1737,,
DATA,A001,1,333,65193,-0.4342,1.0796,0.2337,-38.5742,-94.9707,-88.9282,1.1869,,
DATA,A001,1,334,65203,-0.4113,1.0898,0.2261,-41.4429,-96.3135,-87.8906,1.1866,,
DATA,A001,1,335,65213,-0.3661,1.0691,0.2088,-47.0581,-95.5811,-86.3647,1.1491,,
DATA,A001,1,336,65223,-0.3495,1.0537,0.1976,-49.9878,-93.9331,-85.2051,1.1276,,
DATA,A001,1,337,65233,-0.3254,1.0385,0.1846,-53.2227,-90.9424,-83.4961,1.1039,,
DATA,A001,1,338,65243,-0.3073,1.0354,0.1812,-54.9927,-88.1958,-82.4585,1.0951,,
DATA,A001,1,339,65253,-0.2829,1.0422,0.1893,-57.6782,-82.7026,-80.9937,1.0964,,
DATA,A001,1,340,65263,-0.2660,1.0529,0.1951,-59.6313,-77.2705,-79.8340,1.1034,,
DATA,A001,1,341,65273,-0.2450,1.0654,0.2000,-63.2935,-66.7725,-78.2471,1.1114,,
DATA,A001,1,342,65283,-0.2362,1.0715,0.1959,-65.7349,-59.0820,-76.9653,1.1146,,
DATA,A001,1,343,65293,-0.2184,1.0698,0.1890,-70.1904,-46.2646,-75.1953,1.1081,,
DATA,A001,1,344,65303,-0.2111,1.0647,0.1810,-72.8760,-37.1094,-73.7915,1.1004,,
DATA,A001,1,345,65313,-0.2006,1.0420,0.1666,-76.4160,-22.8882,-71.7773,1.0741,,
DATA,A001,1,346,65323,-0.1989,1.0278,0.1556,-78.2471,-13.1836,-70.5566,1.0584,,
DATA,A001,1,347,65333,-0.1938,1.0039,0.1465,-80.2002,0.7324,-68.6035,1.0328,,
DATA,A001,1,348,65343,-0.1989,0.9853,0.1307,-80.6885,9.4604,-67.1997,1.0136,,
DATA,A001,1,349,65353,-0.2079,0.9550,0.1221,-81.2378,20.0195,-65.3076,0.9850,,
