row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A003,,,147232,,,,,,,,NEW_SESSION,
EVENT,A003,1,,172787,,,,,,,,START,
DATA,A003,1,26,173159,-0.0688,0.4699,0.8931,26.4893,15.5640,1.5259,1.0115,,
DATA,A003,1,27,173169,0.0040,0.4648,0.8917,23.8647,13.4277,2.1973,1.0055,,
DATA,A003,1,28,173179,0.0235,0.7360,0.9717,20.3857,13.6108,-0.6714,1.2193,,
DATA,A003,1,29,173189,-0.0905,0.3039,0.8250,12.0850,11.7188,-9.0942,0.8838,,
DATA,A003,1,30,173199,0.0521,0.6862,0.9476,26.0620,17.3340,6.2866,1.1711,,
DATA,A003,1,31,173209,0.0433,0.3845,0.8716,14.8315,14.3433,4.5776,0.9537,,
DATA,A003,1,32,173219,-0.0312,0.5720,0.8030,20.2637,19.5312,4.5166,0.9864,,
DATA,A003,1,33,173229,0.0548,0.4206,0.8726,17.2729,13.6108,-0.1221,0.9702,,
DATA,A003,1,34,173239,-0.0114,0.3291,0.8043,23.6206,26.3672,-4.2725,0.8690,,
DATA,A003,1,35,173249,-0.0671,0.8755,1.0972,90.2100,-7.8735,-36.6821,1.4053,,
DATA,A003,1,36,173259,0.1305,0.4240,0.7232,100.8301,-30.2734,4.6997,0.8484,,
DATA,A003,1,37,173269,-0.0829,0.2985,1.0672,78.6743,17.3340,-15.7471,1.1113,,
DATA,A003,1,38,173279,-0.0561,0.3386,0.8560,1.1597,13.0005,-6.5918,0.9222,,
DATA,A003,1,39,173289,-0.0558,0.3862,0.8189,18.6157,8.3618,-5.6763,0.9071,,
DATA,A003,1,40,173299,-0.0312,0.5085,0.8675,27.3438,6.4697,-6.5918,1.0060,,
DATA,A003,1,41,173309,-0.0111,0.5639,0.8799,18.7988,6.6528,-6.2256,1.0452,,
DATA,A003,1,42,173319,-0.0131,0.5366,0.8777,12.6343,7.2021,-5.6763,1.0288,,
DATA,A003,1,43,173329,-0.0153,0.4836,0.8682,9.6436,9.5215,-5.4932,0.9939,,
DATA,A003,1,44,173339,-0.0136,0.4658,0.8680,12.1460,10.7422,-5.0659,0.9851,,
DATA,A003,1,45,173349,-0.0028,0.4895,0.8870,17.0288,13.6108,-4.5166,1.0131,,
DATA,A003,1,46,173359,0.0059,0.5161,0.8960,17.8223,16.5405,-4.1504,1.0341,,
DATA,A003,1,47,173369,0.0028,0.5295,0.9036,15.7471,20.8130,-3.5400,1.0473,,
DATA,A003,1,48,173379,-0.0055,0.5261,0.9034,13.8550,22.4609,-2.8687,1.0454,,
DATA,A003,1,49,173389,-0.0204,0.5156,0.9034,11.8408,23.5596,-2.0752,1.0404,,
DATA,A003,1,50,173399,-0.0158,0.5117,0.9039,11.1694,24.7803,-1.7090,1.0388,,
DATA,A003,1,76,173697,-0.1694,0.7712,0.3321,63.1714,222.7173,123.5962,0.8566,,
DATA,A003,1,77,173707,-0.1913,0.8454,0.2857,64.6973,225.2197,133.9722,0.9127,,
DATA,A003,1,78,173717,-0.2140,0.8825,0.2544,65.7349,227.6001,141.4185,0.9431,,
DATA,A003,1,79,173727,-0.2406,0.9465,0.2342,69.1528,230.4077,153.0762,1.0043,,
DATA,A003,1,80,173737,-0.2653,1.0007,0.2300,72.5708,231.3843,161.0107,1.0605,,
DATA,A003,1,81,173747,-0.3039,1.0959,0.2339,74.2188,230.7739,171.8140,1.1611,,
DATA,A003,1,82,173757,-0.3246,1.1494,0.2376,71.8994,229.7363,177.6733,1.2177,,
DATA,A003,1,83,173767,-0.3512,1.1958,0.2234,64.8193,225.8911,184.8755,1.2662,,
DATA,A003,1,84,173777,-0.3708,1.2089,0.2037,60.5469,223.4497,189.1479,1.2808,,
DATA,A003,1,85,173787,-0.3918,1.2258,0.1983,58.3496,218.6279,194.2749,1.3021,,
DATA,A003,1,86,173797,-0.4176,1.2551,0.2066,58.4717,213.9893,197.3267,1.3388,,
DATA,A003,1,87,173807,-0.4535,1.3195,0.2332,60.4858,203.1860,199.8291,1.4147,,
DATA,A003,1,88,173817,-0.4819,1.3711,0.2635,59.9976,193.6035,199.7070,1.4770,,
DATA,A003,1,89,173827,-0.5248,1.4174,0.3052,56.2744,175.1099,196.6553,1.5420,,
DATA,A003,1,90,173837,-0.5461,1.4221,0.3335,52.1240,159.7290,193.1763,1.5594,,
DATA,A003,1,91,173847,-0.5839,1.4023,0.3560,44.9829,133.2397,185.3027,1.5602,,
DATA,A003,1,92,173857,-0.5968,1.3779,0.3633,39.9780,114.4409,178.5278,1.5449,,
DATA,A003,1,93,173867,-0.6098,1.3430,0.3516,34.8511,95.7642,170.2271,1.5163,,
DATA,A003,1,94,173877,-0.6098,1.2793,0.3226,28.6255,68.0542,155.7617,1.4534,,
DATA,A003,1,95,173887,-0.6007,1.2419,0.3016,25.7568,50.5981,144.6533,1.4122,,
DATA,A003,1,96,173897,-0.5544,1.2102,0.2769,23.8037,28.5034,126.5259,1.3596,,
DATA,A003,1,97,173907,-0.5170,1.1911,0.2657,22.4609,17.0288,113.5864,1.3254,,
DATA,A003,1,98,173917,-0.4692,1.1735,0.2481,19.5923,0.0000,94.8486,1.2880,,
DATA,A003,1,99,173927,-0.4338,1.1521,0.2432,18.7378,-9.7656,82.5806,1.2548,,
DATA,A003,1,100,173937,-0.3551,1.1325,0.2447,18.6768,-19.2871,65.9790,1.2119,,
DATA,A003,1,126,174243,-0.1330,0.7370,0.4087,0.8545,-5.0659,-40.8325,0.8532,,
DATA,A003,1,127,174253,-0.1313,0.7390,0.4083,0.0610,-8.3008,-41.8091,0.8544,,
DATA,A003,1,128,174263,-0.1144,0.7290,0.4043,-0.5493,-12.5122,-42.7246,0.8414,,
DATA,A003,1,129,174273,-0.1105,0.7180,0.4019,-0.8545,-14.5874,-43.0298,0.8302,,
DATA,A003,1,130,174283,-0.1012,0.7038,0.4002,-0.6714,-16.5405,-42.9077,0.8159,,
DATA,A003,1,131,174293,-0.0951,0.6928,0.4014,-0.2441,-17.0898,-42.7246,0.8064,,
DATA,A003,1,132,174303,-0.0929,0.6760,0.4004,-0.0610,-16.5405,-41.7480,0.7912,,
DATA,A003,1,133,174313,-0.0915,0.6596,0.4048,-0.2441,-15.1978,-40.7715,0.7793,,
DATA,A003,1,134,174323,-0.0903,0.6250,0.3873,-0.9766,-12.7563,-39.2456,0.7407,,
DATA,A003,1,135,174333,-0.1027,0.5930,0.3768,-1.2817,-11.7188,-37.9639,0.7100,,
DATA,A003,1,136,174343,-0.1193,0.5407,0.3628,-0.9155,-10.9253,-35.9497,0.6620,,
DATA,A003,1,137,174353,-0.1281,0.5061,0.3528,-0.3052,-10.8643,-35.2173,0.6301,,
DATA,A003,1,138,174363,-0.1369,0.4499,0.3489,0.3662,-11.1694,-34.7290,0.5856,,
DATA,A003,1,139,174373,-0.1466,0.4096,0.3467,0.4272,-12.2681,-35.0952,0.5564,,
DATA,A003,1,140,174383,-0.1596,0.3508,0.3331,0.4272,-15.9912,-36.4380,0.5094,,
DATA,A003,1,141,174393,-0.1640,0.3105,0.3194,0.6104,-18.9819,-37.8418,0.4747,,
DATA,A003,1,142,174403,-0.1591,0.2607,0.2969,1.4648,-23.8037,-40.8936,0.4260,,
DATA,A003,1,143,174413,-0.1603,0.2277,0.2920,3.0518,-27.4658,-43.0298,0.4036,,
DATA,A003,1,144,174423,-0.1664,0.2329,0.2886,10.1929,-34.3018,-45.4712,0.4065,,
DATA,A003,1,145,174433,-0.1733,0.2722,0.2877,16.8457,-39.8560,-46.1426,0.4323,,
DATA,A003,1,146,174443,-0.1640,0.3689,0.3055,23.6816,-47.7905,-46.0815,0.5062,,
DATA,A003,1,147,174453,-0.1552,0.4541,0.3130,27.5269,-54.3823,-43.2129,0.5729,,
DATA,A003,1,148,174463,-0.1481,0.6098,0.3719,37.7197,-65.8569,-33.7524,0.7295,,
DATA,A003,1,149,174473,-0.1208,0.7651,0.4427,50.5981,-75.5005,-23.4375,0.8921,,
DATA,A003,1,150,174483,-0.0859,1.1394,0.5186,73.1201,-85.0830,3.4790,1.2548,,
DATA,A003,1,176,174770,-0.2909,0.2609,0.0728,-43.1519,-11.2915,-44.4336,0.3975,,
DATA,A003,1,177,174780,-0.2572,0.2558,0.0650,-42.6636,-32.8979,-42.1753,0.3686,,
DATA,A003,1,178,174790,-0.1711,0.2612,0.0674,-43.2739,-56.0913,-39.8560,0.3194,,
