file_name,file_path,session_uid,configured_hz,total_rows,data_rows,records,duration_sec,effective_hz,mean_dt_ms,median_dt_ms,min_dt_ms,max_dt_ms,p95_dt_ms,gap_count,acc_norm_mean,acc_norm_std,acc_norm_max,gyro_norm_mean,gyro_norm_max,quality_status,quality_notes
run_A_session_A001_100Hz.csv,data/raw/EXP10/m5-01/run_A_session_A001_100Hz.csv,EXP10_m5-01_A_A001,100,1177,1170,4,38.48,48.0,20.83,10.0,10.0,316.0,10.0,44,1.075,0.2525,1.956,117.87,380.58,WARN_GAPS,44 gaps detected; effective 48.0Hz vs configured 100Hz (52% deviation)
run_A_session_A002_100Hz.csv,data/raw/EXP10/m5-01/run_A_session_A002_100Hz.csv,EXP10_m5-01_A_A002,100,707,700,3,19.97,48.9,20.44,10.0,10.0,337.0,10.0,25,1.1849,1.0174,7.6175,153.15,542.26,WARN_GAPS,25 gaps detected; effective 48.9Hz vs configured 100Hz (51% deviation)
run_A_session_A003_100Hz.csv,data/raw/EXP10/m5-01/run_A_session_A003_100Hz.csv,EXP10_m5-01_A_A003,100,453,449,2,18.07,49.3,20.3,10.0,10.0,306.0,10.0,16,1.0875,0.4995,2.9813,150.25,532.24,WARN_GAPS,16 gaps detected; effective 49.3Hz vs configured 100Hz (51% deviation)
run_A_session_A004_100Hz.csv,data/raw/EXP10/m5-01/run_A_session_A004_100Hz.csv,EXP10_m5-01_A_A004,100,564,559,3,18.21,47.6,21.0,10.0,10.0,638.0,10.0,20,1.0436,0.1584,2.0101,89.11,292.6,WARN_GAPS,20 gaps detected; effective 47.6Hz vs configured 100Hz (52% deviation)
