row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A009,,,,,,,,,,,NEW_SESSION,
EVENT,A009,4,,8253620,,,,,,,,START,
DATA,A009,4,1,8253720,-0.0099,-0.0519,0.8996,2.5024,-8.1787,15.3809,0.9012,,
DATA,A009,4,2,8253820,-0.0111,-0.1171,0.9807,11.3525,-15.4419,13.4888,0.9877,,
DATA,A009,4,3,8253920,0.1551,-0.1271,1.0041,1.2207,-48.5229,7.6294,1.0239,,
DATA,A009,4,4,8254020,0.1759,-0.0991,0.9753,-7.8125,-52.9175,19.6533,0.9960,,
DATA,A009,4,5,8254120,0.2704,-0.1179,0.9528,-2.8687,-31.4941,4.9438,0.9974,,
DATA,A009,4,6,8254220,0.3570,-0.1118,0.9394,-10.3149,-57.1899,21.1182,1.0111,,
DATA,A009,4,7,8254320,0.4564,-0.1852,0.9240,-8.1787,-26.7944,17.8833,1.0471,,
DATA,A009,4,8,8254420,0.4366,-0.1547,0.8666,0.3662,-5.2490,14.4653,0.9827,,
DATA,A009,4,9,8254520,0.3914,-0.2158,0.8637,-2.2583,4.2114,3.2349,0.9725,,
DATA,A009,4,10,8254620,0.4381,-0.2209,0.8762,0.2441,7.3242,-0.3052,1.0042,,
DATA,A009,4,11,8254720,0.4278,-0.2082,0.8830,-0.4272,0.7935,-0.5493,1.0030,,
DATA,A009,4,12,8254820,0.4283,-0.2018,0.8654,-2.7466,1.8921,-7.9956,0.9865,,
DATA,A009,4,13,8254920,0.4547,-0.2260,0.8798,-3.7842,-4.3335,-9.0942,1.0158,,
DATA,A009,4,14,8255020,0.4464,-0.2021,0.8857,-2.3193,3.2349,-0.8545,1.0122,,
DATA,A009,4,15,8255120,0.4581,-0.2363,0.9033,-3.4790,14.7705,4.4556,1.0400,,
DATA,A009,4,16,8255220,0.4483,-0.2324,0.9272,-2.0752,26.1230,18.4326,1.0558,,
DATA,A009,4,17,8255320,0.3609,-0.2480,0.9330,-19.1650,49.8047,30.3955,1.0307,,
DATA,A009,4,18,8255420,0.2291,-0.2988,0.9162,-23.1323,65.2466,38.6963,0.9905,,
DATA,A009,4,19,8255520,0.1034,-0.3290,0.9316,-15.3809,90.3931,43.2129,0.9934,,
DATA,A009,4,20,8255620,-0.1586,-0.3889,0.8290,-18.5547,73.9746,35.8276,0.9293,,
DATA,A009,4,21,8255720,-0.2924,-0.3625,0.8256,-6.8970,35.3394,11.9629,0.9479,,
DATA,A009,4,22,8255820,-0.2665,-0.3703,0.8635,-7.2632,23.6206,13.8550,0.9766,,
DATA,A009,4,23,8255920,-0.2409,-0.4179,0.9084,-15.8081,3.7842,11.4746,1.0285,,
DATA,A009,4,24,8256020,-0.2809,-0.4404,0.8659,-10.6812,17.4561,18.1885,1.0113,,
DATA,A009,4,25,8256120,-0.3373,-0.4296,0.8290,-5.9814,19.8364,21.7896,0.9928,,
DATA,A009,4,26,8256220,-0.3827,-0.3937,0.8247,2.3804,-17.3950,23.6816,0.9907,,
DATA,A009,4,27,8256320,-0.4457,-0.4091,0.7878,3.7842,12.9395,17.5781,0.9933,,
EVENT,A009,4,,8256351,,,,,,,,STOP,27
EVENT,A009,5,,8257528,,,,,,,,START,
DATA,A009,5,1,8257628,-0.1012,-0.0715,1.0161,31.1890,-24.2310,-16.0522,1.0236,,
DATA,A009,5,2,8257728,-0.0912,-0.0607,0.9782,12.3901,-25.0854,-18.7378,0.9843,,
DATA,A009,5,3,8257828,0.0243,-0.0620,0.9711,6.8970,-40.4053,-31.6772,0.9734,,
DATA,A009,5,4,8257928,0.1527,-0.0424,1.0024,8.9722,-29.9683,-10.5591,1.0148,,
