row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A006,,,7521845,,,,,,,,NEW_SESSION,
EVENT,A006,1,,7524160,,,,,,,,START,
DATA,A006,1,1,7524260,0.8912,-0.0121,0.4135,-0.6714,0.4883,-8.2397,0.9825,,
DATA,A006,1,2,7524360,0.8971,0.0020,0.4072,4.7607,-7.0190,-9.3384,0.9851,,
DATA,A006,1,3,7524460,0.9217,0.0279,0.4179,3.1128,-4.8218,-8.3618,1.0124,,
DATA,A006,1,4,7524560,0.8927,0.0081,0.4133,5.4321,-6.7139,-5.5542,0.9837,,
DATA,A006,1,5,7524660,0.9129,0.0474,0.3964,1.7090,-0.2441,-6.6528,0.9964,,
DATA,A006,1,6,7524760,0.9037,0.0584,0.4084,3.6011,-3.2349,-4.2114,0.9934,,
DATA,A006,1,7,7524860,0.9068,0.0596,0.3930,4.3945,0.1221,-0.6714,0.9901,,
DATA,A006,1,8,7524960,0.8766,0.0525,0.3879,7.7515,-6.8970,-6.2256,0.9600,,
DATA,A006,1,9,7525060,0.9422,0.1016,0.3586,7.8125,-17.3950,-9.5825,1.0133,,
DATA,A006,1,10,7525160,0.9500,0.1456,0.3234,4.8218,-15.3809,-15.8081,1.0141,,
DATA,A006,1,11,7525260,0.9366,0.1434,0.3222,-1.0986,-8.7280,-9.3994,1.0008,,
DATA,A006,1,12,7525360,0.9041,0.1397,0.2722,0.0610,-5.6763,-11.9019,0.9545,,
DATA,A006,1,13,7525460,0.9232,0.1829,0.2790,7.1411,-8.7280,-20.3247,0.9816,,
DATA,A006,1,14,7525560,0.9405,0.2210,0.2592,9.7656,-9.0942,-19.4092,1.0003,,
DATA,A006,1,15,7525660,0.9527,0.2681,0.2426,6.7139,-15.0146,-10.4370,1.0190,,
DATA,A006,1,16,7525760,1.3512,0.5362,0.2836,54.9316,-76.5991,51.6968,1.4811,,
DATA,A006,1,17,7525860,0.7267,-0.0100,-0.0894,5.0659,1.9531,73.4863,0.7322,,
DATA,A006,1,18,7525960,0.7979,-0.0329,0.1152,-11.2915,21.0571,-4.7607,0.8069,,
DATA,A006,1,19,7526060,0.9603,0.0994,0.1997,-1.8921,3.3569,-46.0205,0.9859,,
DATA,A006,1,20,7526160,1.0006,0.2213,0.1677,-0.6714,6.2866,-32.3486,1.0384,,
DATA,A006,1,21,7526260,0.9415,0.2281,0.1538,-9.5825,14.2212,-6.5918,0.9809,,
DATA,A006,1,22,7526360,0.9791,0.2713,0.1635,-11.7798,9.9487,2.3804,1.0291,,
DATA,A006,1,23,7526460,1.0472,0.1312,0.2905,-39.0015,3.5400,23.3765,1.0946,,
DATA,A006,1,24,7526560,0.8631,0.0938,0.2133,2.9297,4.5776,-5.2490,0.8940,,
EVENT,A006,1,,7526569,,,,,,,,STOP,24
EVENT,A006,2,,7528159,,,,,,,,START,
DATA,A006,2,1,7528259,0.9718,0.2005,0.1694,1.2207,1.5869,-2.0142,1.0066,,
DATA,A006,2,2,7528359,0.9625,0.1795,0.2018,-2.7466,1.4038,-1.9531,0.9997,,
DATA,A006,2,3,7528459,0.9464,0.1778,0.2104,0.3052,1.2817,-2.3804,0.9857,,
DATA,A006,2,4,7528559,0.9466,0.1724,0.1711,11.4746,-13.1226,-16.4795,0.9773,,
DATA,A006,2,5,7528659,0.9674,0.1526,0.1218,14.0991,36.8652,-52.0020,0.9869,,
DATA,A006,2,6,7528759,0.7657,0.5052,0.1730,-29.4800,37.0483,-129.7607,0.9335,,
DATA,A006,2,7,7528859,0.8167,0.6172,0.3789,54.0771,32.4707,42.7246,1.0916,,
DATA,A006,2,8,7528959,0.9078,0.6241,0.4702,66.8945,2.0142,90.0269,1.1978,,
DATA,A006,2,9,7529059,1.0040,0.5062,0.0837,21.1792,35.2783,93.0786,1.1275,,
DATA,A006,2,10,7529159,0.5875,0.0335,0.2116,118.2251,74.6460,151.9165,0.6253,,
DATA,A006,2,11,7529259,0.5077,-0.2441,0.3872,9.5825,-12.8174,21.4844,0.6835,,
DATA,A006,2,12,7529359,0.9207,0.1470,0.4255,-6.7139,-24.7803,-73.5474,1.0249,,
DATA,A006,2,13,7529459,0.9620,0.2003,0.2487,4.2725,-39.6729,-44.0063,1.0136,,
DATA,A006,2,14,7529559,0.7257,0.1468,0.2866,-34.4238,-64.7583,-122.9858,0.7939,,
DATA,A006,2,15,7529659,0.8790,0.7344,0.1088,-3.4180,-51.9409,-129.5776,1.1506,,
DATA,A006,2,16,7529759,1.0518,1.1341,-0.0491,4.6387,-14.5264,18.1274,1.5476,,
DATA,A006,2,17,7529859,0.9088,0.7342,-0.2007,2.0142,49.3164,174.9268,1.1854,,
DATA,A006,2,18,7529959,0.6439,0.1551,-0.1666,10.8643,112.4878,129.2725,0.6829,,
DATA,A006,2,19,7530059,0.6810,-0.1086,0.3571,29.2358,81.9702,32.7759,0.7766,,
DATA,A006,2,20,7530159,0.6434,-0.1472,0.6987,12.7563,37.5977,-33.5693,0.9611,,
DATA,A006,2,21,7530259,0.6847,0.0484,0.8554,-3.7231,-23.0713,-91.3086,1.0967,,
DATA,A006,2,22,7530359,0.8980,0.4109,0.4694,-8.5449,-78.0029,-75.0732,1.0935,,
DATA,A006,2,23,7530459,1.0155,0.6751,0.1420,-28.0151,-46.4478,-6.8970,1.2277,,
