experiment_id,device_id,session_uid,recording_run_id,device_session_id,record_id,window_idx,window_start_ms,window_end_ms,sample_count,sample_rate_hz,movement_type,movement_label,subject_id,acc_norm_mean,acc_norm_std,acc_norm_max,acc_norm_min,acc_norm_range,acc_zcr,ax_std,ax_mean,ay_std,ay_mean,az_std,az_mean,gyro_norm_mean,gyro_norm_std,gyro_norm_max,gx_std,gy_std,gz_std
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,0,364005,366105,210,100.0,walking,unknown,child_01,1.1459,0.2861,2.3978,0.7379,1.6599,5.71,0.2041,-0.3277,0.256,1.0634,0.148,0.1663,168.56,88.95,417.45,36.556,83.491,155.9242
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,1,364255,366355,210,100.0,walking,unknown,child_01,1.0948,0.2376,1.812,0.7379,1.0741,5.71,0.1187,-0.302,0.2434,1.0295,0.1167,0.131,140.38,68.4,290.47,30.2582,54.4522,139.1444
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,2,364505,366605,210,100.0,walking,unknown,child_01,1.1063,0.2527,1.812,0.7379,1.0741,6.19,0.1076,-0.2872,0.2633,1.0529,0.0911,0.0874,147.94,70.44,290.47,25.1604,54.7774,149.4555
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,3,364755,366855,210,100.0,walking,unknown,child_01,1.1,0.2459,1.812,0.7379,1.0741,6.67,0.0969,-0.2584,0.2528,1.0571,0.0976,0.0592,140.73,72.19,290.47,17.6999,59.0272,144.2459
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,4,365005,367105,210,100.0,walking,unknown,child_01,1.1036,0.2423,1.812,0.7379,1.0741,6.19,0.0872,-0.2666,0.2491,1.059,0.102,0.0637,141.95,67.67,290.47,12.9796,53.2464,146.3497
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,5,365255,367355,210,100.0,walking,unknown,child_01,1.1072,0.2404,1.812,0.7379,1.0741,6.19,0.0859,-0.27,0.2466,1.063,0.0972,0.0567,139.02,68.51,290.47,13.5741,52.3081,144.2239
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,6,365505,367605,210,100.0,walking,unknown,child_01,1.1012,0.2283,1.6428,0.7379,0.9049,5.71,0.087,-0.2645,0.2337,1.0588,0.0941,0.0532,143.94,67.98,290.47,14.9062,58.263,146.3166
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,7,365755,367855,210,100.0,walking,unknown,child_01,1.1073,0.2188,1.6428,0.7379,0.9049,6.19,0.0853,-0.2702,0.2267,1.0632,0.0973,0.0501,140.67,71.1,290.47,14.9298,56.7315,145.3578
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,8,366005,368105,210,100.0,walking,unknown,child_01,1.093,0.197,1.6428,0.7178,0.925,7.14,0.0817,-0.2831,0.2051,1.0449,0.0974,0.0564,134.81,62.14,239.58,15.4166,56.9358,134.775
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,9,366255,368355,210,100.0,walking,unknown,child_01,1.0881,0.2062,1.6428,0.6494,0.9934,6.67,0.0933,-0.2926,0.2093,1.0373,0.0983,0.0506,134.78,59.97,236.02,17.1698,59.2606,131.7369
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,10,366505,368605,210,100.0,walking,unknown,child_01,1.0817,0.2121,1.9345,0.6494,1.2851,7.14,0.1093,-0.3082,0.2068,1.0262,0.099,0.0506,133.01,57.93,236.02,17.0971,60.6233,129.2901
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,11,366755,368855,210,100.0,walking,unknown,child_01,1.0796,0.2141,1.9345,0.6494,1.2851,6.67,0.1184,-0.3,0.2097,1.0255,0.0901,0.0586,124.73,56.29,236.02,17.4525,52.6947,123.3839
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,12,367005,369105,210,100.0,walking,unknown,child_01,1.0899,0.2203,1.9345,0.6494,1.2851,7.14,0.1179,-0.3058,0.2167,1.0346,0.0942,0.0506,136.47,60.47,272.31,19.6732,57.2122,134.2282
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,13,367255,369355,210,100.0,walking,unknown,child_01,1.081,0.2212,1.9345,0.6494,1.2851,6.19,0.118,-0.3079,0.2173,1.0258,0.0863,0.0423,129.75,62.71,272.31,20.4996,57.1919,128.3841
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,14,367505,369605,210,100.0,walking,unknown,child_01,1.0994,0.2543,1.9502,0.6494,1.3008,6.19,0.116,-0.293,0.2564,1.0494,0.0798,0.0283,144.1,68.17,272.31,20.5406,60.5229,143.0162
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,15,367755,369855,210,100.0,walking,unknown,child_01,1.079,0.2633,1.9502,0.6494,1.3008,6.19,0.1273,-0.2903,0.2645,1.0274,0.084,0.0253,133.63,66.37,272.31,20.6512,62.267,132.7554
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,16,368005,370105,210,100.0,walking,unknown,child_01,1.08,0.264,1.9502,0.6494,1.3008,5.24,0.1926,-0.3391,0.2789,0.9981,0.0933,0.036,138.06,64.05,272.31,29.565,68.8235,131.6908
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,17,368255,370355,210,100.0,walking,unknown,child_01,1.1087,0.3134,2.5255,0.6983,1.8272,4.76,0.2132,-0.3563,0.3057,1.0147,0.1787,-0.0048,151.11,72.14,277.07,45.9593,88.08,126.9225
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,18,368505,370605,210,100.0,walking,unknown,child_01,1.0963,0.3115,2.5255,0.6983,1.8272,6.19,0.2174,-0.357,0.2894,0.9762,0.2818,-0.0897,169.21,75.36,285.08,52.4431,92.7695,131.8494
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,19,368755,370855,210,100.0,walking,unknown,child_01,1.102,0.311,2.5255,0.6983,1.8272,7.14,0.2234,-0.3487,0.2908,0.9825,0.282,-0.1006,170.66,75.4,285.08,50.5352,96.8201,130.4632
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,20,369005,371105,210,100.0,walking,unknown,child_01,1.0993,0.3249,2.5255,0.6983,1.8272,6.19,0.2126,-0.3596,0.3067,0.9755,0.297,-0.0753,167.62,73.47,285.08,45.1148,84.5601,128.6908
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,21,369255,371355,210,100.0,walking,unknown,child_01,1.1149,0.3223,2.5255,0.6983,1.8272,7.14,0.2151,-0.3544,0.309,0.992,0.3026,-0.0641,157.81,78.2,285.08,43.9545,85.7054,115.8432
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,22,369505,371605,210,100.0,walking,unknown,child_01,1.0813,0.2896,2.5255,0.6983,1.8272,7.14,0.2125,-0.3618,0.2589,0.9563,0.2992,-0.0768,160.95,73.74,285.08,44.7053,79.0701,115.7291
EXP14,m5-01,EXP14_m5-01_A_A001,A,A001,1,23,369755,371855,210,100.0,walking,unknown,child_01,1.0798,0.2884,2.5255,0.7155,1.81,7.14,0.2095,-0.3643,0.2578,0.9544,0.3007,-0.0683,149.75,74.8,285.08,46.794,83.5493,108.1731
