row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A001,,,16655,,,,,,,,NEW_SESSION,
DATA,A001,1,1,20848,0.5375,0.2750,0.8563,-14.2822,21.2402,-6.1035,1.0477,,
DATA,A001,1,2,20868,0.5685,0.2115,0.8284,-17.5781,6.0425,-2.2583,1.0268,,
DATA,A001,1,3,20888,0.5734,0.1803,0.8201,-19.7754,2.8687,0.7324,1.0168,,
DATA,A001,1,4,20908,0.5792,0.1434,0.7930,-12.6343,10.9253,0.9766,0.9925,,
DATA,A001,1,5,20928,0.5963,0.1798,0.7525,-1.4648,24.9023,0.4883,0.9768,,
DATA,A001,1,6,20948,0.5572,0.2262,0.7760,-0.9155,20.7520,1.7090,0.9817,,
DATA,A001,1,7,20968,0.5651,0.2232,0.7994,-5.2490,10.0708,3.7842,1.0041,,
DATA,A001,1,8,20988,0.5799,0.2215,0.8057,-7.9956,4.6387,4.3335,1.0172,,
DATA,A001,1,9,21008,0.5865,0.1976,0.8187,-9.0942,3.2959,4.5776,1.0263,,
DATA,A001,1,10,21028,0.5768,0.1859,0.8004,-6.6528,7.4463,2.9907,1.0039,,
DATA,A001,1,11,21048,0.5636,0.1871,0.7992,-2.5024,11.6577,2.0142,0.9956,,
DATA,A001,1,12,21068,0.5673,0.2125,0.8018,-0.9155,14.4043,2.3804,1.0049,,
DATA,A001,1,13,21088,0.5670,0.2198,0.7869,-2.3804,12.6343,3.5400,0.9945,,
DATA,A001,1,14,21108,0.5670,0.2169,0.8043,-3.4790,7.6904,5.0659,1.0077,,
DATA,A001,1,15,21128,0.5773,0.1974,0.8028,-3.4180,3.2959,5.0659,1.0083,,
DATA,A001,1,16,21148,0.5694,0.1981,0.8155,-4.6997,5.8594,4.2725,1.0142,,
DATA,A001,1,17,21168,0.5631,0.1940,0.7977,-2.5024,4.6387,4.3945,0.9955,,
DATA,A001,1,18,21188,0.5631,0.1920,0.8038,-1.7700,11.5356,2.5635,1.0000,,
DATA,A001,1,19,21208,0.5685,0.2086,0.8026,-0.1831,10.2539,3.4180,1.0054,,
DATA,A001,1,20,21228,0.5651,0.2186,0.7970,-0.6104,9.3384,3.9062,1.0011,,
DATA,A001,1,21,21248,0.5597,0.2162,0.8140,-2.2583,5.4932,4.9438,1.0113,,
DATA,A001,1,22,21268,0.5714,0.2069,0.8075,-3.2349,4.8828,4.0894,1.0106,,
DATA,A001,1,23,21288,0.5633,0.2032,0.7996,-1.9531,7.2632,3.4790,0.9990,,
