row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A002,,,92904,,,,,,,,NEW_SESSION,
DATA,A002,1,1,94953,-0.0711,0.5400,0.8756,14.8926,15.4419,-29.1748,1.0312,,
DATA,A002,1,2,94963,-0.0480,0.5810,0.8480,16.4795,15.1367,-34.8511,1.0291,,
DATA,A002,1,3,94973,-0.0370,0.5878,0.8280,17.0898,12.5732,-34.8511,1.0161,,
DATA,A002,1,4,94983,0.0163,0.5712,0.8326,15.0146,9.7046,-32.4707,1.0099,,
DATA,A002,1,5,94993,0.0023,0.5463,0.8346,11.7798,17.0898,-35.3394,0.9975,,
DATA,A002,1,6,95003,0.0192,0.5568,0.7941,11.7798,23.2544,-17.7612,0.9700,,
DATA,A002,1,7,95013,0.0070,0.5912,0.7982,12.8784,29.6021,-11.1084,0.9934,,
DATA,A002,1,8,95023,-0.0157,0.6420,0.7694,14.0381,44.8608,-7.5073,1.0022,,
DATA,A002,1,9,95033,-0.0113,0.6569,0.7269,13.6719,49.6216,0.0610,0.9798,,
DATA,A002,1,10,95043,0.3148,0.0229,0.6434,23.4985,40.4053,16.2354,0.7167,,
DATA,A002,1,11,95053,-0.0228,0.9587,0.6732,47.4854,62.8052,25.5737,1.1717,,
DATA,A002,1,12,95063,-0.2079,0.6088,0.7052,28.6255,64.8804,21.9116,0.9546,,
DATA,A002,1,13,95073,-0.1566,0.6257,0.6888,24.8413,56.5186,16.1133,0.9437,,
DATA,A002,1,14,95083,-0.1908,0.6210,0.7523,20.5078,44.6167,15.8081,0.9940,,
DATA,A002,1,15,95093,-0.0021,0.6472,0.6779,15.9912,45.9595,13.0615,0.9372,,
DATA,A002,1,16,95103,0.0311,0.4484,0.7260,19.7144,35.4614,23.4985,0.8539,,
DATA,A002,1,17,95113,-0.0616,0.6787,0.4227,45.7764,51.3916,21.4233,0.8019,,
DATA,A002,1,18,95123,0.0072,0.8149,0.5187,94.2993,49.1943,29.6631,0.9660,,
DATA,A002,1,19,95133,0.0517,0.7053,0.6188,99.6094,42.5415,26.9775,0.9397,,
DATA,A002,1,20,95143,-0.0165,0.9160,0.5636,-1.4648,90.5151,18.5547,1.0756,,
DATA,A002,1,21,95153,0.0885,0.8815,0.6337,-11.4746,82.3975,26.0620,1.0893,,
DATA,A002,1,22,95163,0.1459,0.7634,0.5814,-29.6021,107.4219,23.9868,0.9706,,
DATA,A002,1,23,95173,0.1732,0.6054,0.5319,-31.4331,123.9014,32.7148,0.8243,,
DATA,A002,1,24,95183,0.1886,0.5764,0.5062,-18.6157,144.2261,35.8887,0.7900,,
DATA,A002,1,25,95193,0.1950,0.7141,0.4833,-3.1738,177.0020,40.4053,0.8840,,
DATA,A002,1,51,95453,-0.6080,1.1953,-0.0385,-70.7397,291.5649,199.7681,1.3416,,
DATA,A002,1,52,95463,-0.6124,1.2206,-0.0184,-71.4722,270.4468,205.8716,1.3658,,
DATA,A002,1,53,95473,-0.6349,1.2541,-0.0035,-70.6177,238.2812,215.8813,1.4056,,
DATA,A002,1,54,95483,-0.6671,1.2624,0.0184,-68.4204,212.7686,222.5342,1.4279,,
DATA,A002,1,55,95493,-0.7174,1.3005,0.0370,-64.0259,184.2651,228.8818,1.4857,,
DATA,A002,1,56,95503,-0.7904,1.3679,0.0721,-58.8379,136.2915,235.5957,1.5814,,
DATA,A002,1,57,95513,-0.8495,1.3923,0.0983,-55.9692,100.1587,239.0747,1.6339,,
DATA,A002,1,58,95523,-0.9784,1.4348,0.1183,-49.7437,43.8843,240.8447,1.7406,,
DATA,A002,1,59,95533,-1.0587,1.4558,0.1237,-45.8374,7.0801,237.1216,1.8043,,
DATA,A002,1,60,95543,-1.1141,1.4572,0.0807,-39.5508,-41.5649,222.4121,1.8361,,
DATA,A002,1,61,95553,-1.1376,1.4496,0.0182,-40.4663,-65.5518,209.2896,1.8428,,
DATA,A002,1,62,95563,-1.0917,1.3351,-0.0612,-49.6826,-95.9473,180.6030,1.7257,,
DATA,A002,1,63,95573,-0.9759,1.2187,-0.1110,-52.0630,-110.7178,158.8135,1.5652,,
DATA,A002,1,64,95583,-0.7223,1.0617,-0.1332,-40.2832,-129.3335,128.4180,1.2910,,
DATA,A002,1,65,95593,-0.5524,0.9909,-0.1398,-25.0854,-142.8223,110.4126,1.1430,,
DATA,A002,1,66,95603,-0.3348,0.9438,-0.0819,-4.9438,-155.7007,86.2427,1.0048,,
DATA,A002,1,67,95613,-0.2374,0.9245,-0.0407,4.8828,-156.3110,69.1528,0.9554,,
DATA,A002,1,68,95623,-0.1854,0.9113,-0.0189,13.0615,-147.0947,42.6025,0.9302,,
DATA,A002,1,69,95633,-0.1893,0.8984,-0.0067,16.9678,-136.5356,26.1841,0.9181,,
DATA,A002,1,70,95643,-0.2037,0.9116,0.0162,20.2637,-117.7368,4.6387,0.9342,,
DATA,A002,1,71,95653,-0.2093,0.9208,0.0275,21.3623,-103.5767,-5.0659,0.9447,,
DATA,A002,1,72,95663,-0.2413,0.9304,0.0475,19.9585,-79.5898,-14.8926,0.9623,,
DATA,A002,1,73,95673,-0.2748,0.9252,0.0275,16.8457,-64.6973,-18.2495,0.9656,,
DATA,A002,1,74,95683,-0.3487,0.8757,0.0431,11.5967,-32.5928,-23.7427,0.9435,,
DATA,A002,1,75,95693,-0.3724,0.8539,0.0482,11.2915,-14.0381,-25.8789,0.9329,,
DATA,A002,1,101,95954,-0.1632,2.1735,0.0983,-6.4087,-10.3149,-67.9932,2.1819,,
DATA,A002,1,102,95964,-0.1993,2.2275,0.1285,-14.8315,-7.2021,-61.8896,2.2401,,
DATA,A002,1,103,95974,-0.2289,2.2333,0.1613,-20.3857,-8.4229,-58.1665,2.2508,,
DATA,A002,1,104,95984,-0.2364,2.2045,0.2074,-26.1841,-9.7046,-55.1758,2.2269,,
DATA,A002,1,105,95994,-0.2301,2.0646,0.2694,-36.6821,-11.0474,-52.6123,2.0948,,
DATA,A002,1,106,96004,-0.2213,1.9235,0.2972,-41.3208,-9.9487,-51.6968,1.9589,,
DATA,A002,1,107,96014,-0.1893,1.7011,0.2987,-42.5415,-5.8594,-51.7578,1.7375,,
DATA,A002,1,108,96024,-0.1803,1.5707,0.2843,-40.8325,-2.1362,-52.4902,1.6064,,
DATA,A002,1,109,96034,-0.1742,1.3850,0.2540,-38.6963,2.8687,-53.7720,1.4188,,
DATA,A002,1,110,96044,-0.1815,1.2624,0.2335,-38.5132,4.1504,-54.6875,1.2966,,
DATA,A002,1,111,96054,-0.1852,1.0615,0.2120,-39.3066,3.2959,-57.0068,1.0982,,
DATA,A002,1,112,96064,-0.1888,0.9265,0.1959,-39.7339,2.5635,-59.3872,0.9656,,
DATA,A002,1,113,96074,-0.1976,0.7275,0.1835,-38.8794,1.3428,-62.3779,0.7758,,
DATA,A002,1,114,96084,-0.2042,0.6052,0.1759,-37.6587,0.5493,-65.0024,0.6625,,
DATA,A002,1,115,96094,-0.2154,0.4423,0.1671,-34.9121,-1.3428,-68.9697,0.5196,,
DATA,A002,1,116,96104,-0.2193,0.3459,0.1664,-32.5317,-3.5400,-71.6553,0.4421,,
DATA,A002,1,117,96114,-0.2296,0.2319,0.1508,-28.5034,-8.5449,-75.9277,0.3595,,
DATA,A002,1,118,96124,-0.2284,0.1679,0.1564,-24.8413,-13.0615,-79.0405,0.3237,,
DATA,A002,1,119,96134,-0.2276,0.0966,0.1461,-18.9209,-20.2637,-83.2520,0.2872,,
DATA,A002,1,120,96144,-0.2240,0.0659,0.1525,-13.4888,-26.3672,-85.9985,0.2788,,
DATA,A002,1,121,96154,-0.2118,0.0349,0.1539,-6.1646,-34.7900,-90.3320,0.2641,,
DATA,A002,1,122,96164,-0.2152,0.0273,0.1471,-3.1128,-40.5273,-92.4683,0.2621,,
DATA,A002,1,123,96174,-0.2045,0.0021,0.1471,1.2817,-50.3540,-97.3511,0.2519,,
DATA,A002,1,124,96184,-0.1991,-0.0113,0.1471,3.4180,-56.7627,-100.1587,0.2478,,
DATA,A002,1,125,96194,-0.1942,-0.0347,0.1493,6.2256,-66.8945,-103.3936,0.2474,,
DATA,A002,1,151,96454,-1.3202,0.9672,0.6327,-145.9961,453.7964,175.9033,1.7546,,
DATA,A002,1,152,96464,-1.1000,0.7302,0.7274,-82.7637,352.4170,172.6074,1.5074,,
DATA,A002,1,153,96474,-0.8426,0.6091,0.6791,-47.9126,286.4990,168.3960,1.2418,,
DATA,A002,1,154,96484,-0.6214,0.4470,0.5780,-5.6152,210.7544,154.4189,0.9592,,
DATA,A002,1,155,96494,-0.5228,0.3986,0.5126,14.9536,157.2876,148.7427,0.8336,,
DATA,A002,1,156,96504,-0.4820,0.3549,0.3583,35.8276,72.3267,150.2686,0.6976,,
DATA,A002,1,157,96514,-0.5160,0.2929,0.2931,47.8516,13.7939,150.0854,0.6618,,
DATA,A002,1,158,96524,-0.6019,0.1916,0.2086,64.6973,-70.5566,143.9209,0.6652,,
DATA,A002,1,159,96534,-0.6730,0.1542,0.1727,75.4395,-119.5068,135.5591,0.7117,,
DATA,A002,1,160,96544,-0.8133,0.0742,0.0685,91.9800,-202.5757,117.0654,0.8196,,
DATA,A002,1,161,96554,-0.8868,0.0485,-0.0363,99.1211,-225.4639,100.2808,0.8889,,
DATA,A002,1,162,96564,-0.9740,0.0825,0.0018,108.2764,-269.2261,83.1299,0.9775,,
DATA,A002,1,163,96574,-1.0204,0.0424,-0.0573,104.3701,-292.9688,69.7632,1.0229,,
DATA,A002,1,164,96584,-1.0477,-0.0162,-0.0963,100.7080,-339.9048,59.8755,1.0523,,
DATA,A002,1,165,96594,-0.9894,-0.0757,-0.1393,99.6704,-377.0142,54.8096,1.0020,,
DATA,A002,1,166,96604,-0.8299,-0.1202,-0.1552,107.7881,-419.9829,47.3022,0.8528,,
DATA,A002,1,167,96614,-0.6786,-0.1187,-0.1412,118.1641,-441.9556,40.4663,0.7032,,
DATA,A002,1,168,96624,-0.4950,-0.0914,-0.1683,130.7983,-443.3594,26.9775,0.5307,,
DATA,A002,1,169,96634,-0.3793,-0.0445,-0.1666,136.5967,-436.6455,20.3247,0.4166,,
DATA,A002,1,170,96644,-0.2608,0.0317,-0.1732,140.7471,-427.0020,17.2119,0.3147,,
DATA,A002,1,171,96654,-0.0982,0.2004,-0.1200,151.1841,-412.1094,21.6675,0.2534,,
DATA,A002,1,172,96664,0.0184,0.3752,-0.0819,163.3301,-396.8506,30.7007,0.3845,,
DATA,A002,1,173,96674,0.1781,0.7253,0.0858,183.7158,-371.9482,53.2837,0.7517,,
DATA,A002,1,174,96684,0.3117,1.0300,0.2504,190.9180,-346.7407,73.6084,1.1048,,
DATA,A002,1,175,96694,0.5060,1.6457,0.2865,179.9316,-279.4189,114.1968,1.7454,,
DATA,A002,1,201,96954,-0.7399,0.3156,-0.3209,218.8110,-323.3643,-151.6113,0.8660,,
DATA,A002,1,202,96964,-0.6798,0.3522,-0.3387,207.5806,-361.8164,-159.2407,0.8372,,
DATA,A002,1,203,96974,-0.6161,0.3752,-0.3700,194.8853,-395.0806,-166.6870,0.8107,,
DATA,A002,1,204,96984,-0.4562,0.3915,-0.3595,177.6733,-436.7065,-176.2085,0.7004,,
DATA,A002,1,205,96994,-0.3331,0.3972,-0.3348,167.7856,-456.3599,-182.9224,0.6171,,
DATA,A002,1,206,97004,-0.1183,0.4692,-0.2860,152.7710,-468.3838,-191.6504,0.5621,,
DATA,A002,1,207,97014,-0.0101,0.5261,-0.2347,141.2354,-467.8345,-196.0449,0.5762,,
DATA,A002,1,208,97024,0.0802,0.6208,-0.1693,121.3989,-449.3408,-196.7163,0.6484,,
DATA,A002,1,209,97034,0.1361,0.6970,-0.1324,106.5674,-433.8989,-191.8335,0.7224,,
DATA,A002,1,210,97044,0.2555,0.8268,-0.1346,88.5010,-395.6909,-177.0020,0.8758,,
DATA,A002,1,211,97054,0.3778,0.9282,-0.1591,79.7729,-367.1875,-161.9263,1.0147,,
DATA,A002,1,212,97064,0.6085,1.0768,-0.1381,62.7441,-312.0117,-135.1929,1.2446,,
DATA,A002,1,213,97074,0.7038,1.1616,-0.1237,43.1519,-264.2822,-111.0840,1.3637,,
DATA,A002,1,214,97084,0.7621,1.2133,-0.1244,3.4790,-188.6597,-74.0967,1.4382,,
DATA,A002,1,215,97094,0.8100,1.2106,-0.1307,-24.0479,-135.1929,-53.2837,1.4624,,
DATA,A002,1,216,97104,0.8048,1.1950,-0.2120,-49.3164,-46.6919,-8.6060,1.4563,,
DATA,A002,1,217,97114,0.6022,1.2016,-0.2001,-51.5747,14.9536,32.2876,1.3589,,
DATA,A002,1,218,97124,0.2038,1.3071,-0.1329,-38.9404,91.3696,91.9800,1.3295,,
DATA,A002,1,219,97134,-0.0575,1.4711,-0.1420,-24.4141,135.6201,127.1362,1.4791,,
DATA,A002,1,220,97144,-0.3219,1.8388,-0.0831,-7.7515,187.5610,161.5601,1.8686,,
DATA,A002,1,221,97154,-0.4147,2.0805,-0.0297,-10.7422,209.8389,178.4058,2.1216,,
DATA,A002,1,222,97164,-0.5106,2.2121,0.0236,-44.7388,231.5063,214.1724,2.2704,,
