row_type,session_id,record_id,sample_id,device_timestamp_ms,ax,ay,az,gx,gy,gz,acc_norm,event_type,sample_count
EVENT,A001,,,23667,,,,,,,,NEW_SESSION,
EVENT,A001,1,,30691,,,,,,,,START,
DATA,A001,1,15,31358,0.9262,-0.1556,0.4992,6.8970,-2.5024,23.3154,1.0637,,
DATA,A001,1,16,31398,0.8723,-0.1431,0.4440,13.1836,3.5400,16.5405,0.9892,,
DATA,A001,1,17,31438,0.8557,-0.1578,0.4770,3.4180,11.8408,2.9907,0.9923,,
DATA,A001,1,18,31478,0.8598,-0.1749,0.4648,13.3667,14.2212,1.9531,0.9929,,
DATA,A001,1,19,31518,0.8384,-0.1702,0.4746,5.3101,12.0239,-0.3052,0.9783,,
DATA,A001,1,20,31558,0.8533,-0.1846,0.4741,3.3569,18.3716,-1.5259,0.9934,,
DATA,A001,1,21,31598,0.8481,-0.1639,0.4885,12.4512,27.9541,2.9297,0.9924,,
DATA,A001,1,22,31638,0.8486,-0.1778,0.5266,35.2783,58.3496,0.6714,1.0144,,
DATA,A001,1,23,31678,0.8303,-0.1553,0.5302,14.7705,48.2178,3.7842,0.9973,,
DATA,A001,1,24,31718,0.7834,-0.1014,0.6267,-11.4746,10.8032,-0.1831,1.0083,,
DATA,A001,1,25,31758,0.8064,-0.1475,0.5629,-15.6860,-1.4038,-3.2959,0.9944,,
DATA,A001,1,26,31798,0.7829,-0.1578,0.5676,-7.0190,14.7705,-6.4087,0.9798,,
DATA,A001,1,27,31838,0.7749,-0.1548,0.6027,-11.0474,12.0850,-3.9062,0.9938,,
DATA,A001,1,28,31878,0.7712,-0.1380,0.6245,-22.2778,2.4414,-6.8359,1.0019,,
DATA,A001,1,43,32563,0.8022,-0.1551,0.5671,2.9907,-7.3853,-3.3569,0.9946,,
DATA,A001,1,44,32603,0.8159,-0.1729,0.5600,4.3335,-5.1270,1.7700,1.0046,,
DATA,A001,1,45,32643,0.8088,-0.1375,0.5615,6.7749,-4.2725,0.3052,0.9942,,
DATA,A001,1,46,32683,0.8008,-0.1500,0.5307,4.5776,0.1221,-0.6104,0.9723,,
DATA,A001,1,47,32723,0.7966,-0.1419,0.5417,-4.0894,2.4414,0.7324,0.9737,,
DATA,A001,1,48,32763,0.7900,-0.1370,0.5358,-1.1597,4.5776,4.0283,0.9644,,
DATA,A001,1,49,32803,0.8213,-0.1973,0.5666,-2.6855,1.5259,1.7090,1.0171,,
DATA,A001,1,50,32843,0.8032,-0.1675,0.5322,-3.1128,-0.8545,0.6714,0.9780,,
DATA,A001,1,51,32883,0.8110,-0.1822,0.5510,-0.1831,1.8311,-0.5493,0.9973,,
DATA,A001,1,52,32923,0.8091,-0.1722,0.5715,-3.9673,2.4414,-0.1831,1.0054,,
DATA,A001,1,53,32963,0.8108,-0.1536,0.5849,-0.4883,3.6621,-2.0752,1.0115,,
DATA,A001,1,54,33003,0.8061,-0.1546,0.6020,-0.6714,0.9155,1.7700,1.0179,,
DATA,A001,1,55,33043,0.8027,-0.1500,0.5488,2.7466,3.1738,2.4414,0.9839,,
DATA,A001,1,56,33083,0.7827,-0.1390,0.5671,5.0659,6.8970,0.6714,0.9765,,
DATA,A001,1,71,33750,0.8144,-0.1314,0.6152,5.9814,3.8452,-8.4229,1.0291,,
